County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Accomack County,33148,33225,33268,32969,32971,32914,32871,32685,32581,32316
Albemarle County,99204,100213,101464,102270,103732,105117,106431,107768,108377,109330
Alleghany County,16203,16163,16034,15923,15605,15425,15387,15128,14986,14860
Amelia County,12746,12752,12745,12656,12713,12784,12801,12980,13057,13145
Amherst County,32387,32154,32630,32317,32158,31836,31887,31863,31684,31605
Appomattox County,15098,15109,15246,15320,15348,15492,15528,15723,15881,15911
Arlington County,209295,215990,221454,224894,225980,228548,231259,234647,236025,236842
Augusta County,73584,73648,73588,73842,73881,74292,74834,75177,75535,75558
Bath County,4721,4655,4642,4592,4535,4460,4409,4266,4253,4147
Bedford County,75035,75554,75750,76177,77034,77629,77993,78378,78882,78997
Bland County,6799,6773,6692,6673,6583,6532,6472,6354,6303,6280
Botetourt County,33199,33005,33123,32994,33080,33380,33252,33313,33352,33419
Brunswick County,17402,17127,17032,16984,16825,16845,16618,16570,16336,16231
Buchanan County,24084,23824,23822,23625,23152,22752,22212,21604,21369,21004
Buckingham County,17091,17213,17068,17150,16931,17017,17051,17038,17043,17148
Campbell County,54901,54789,54830,55078,55272,55356,55419,55326,55137,54885
Caroline County,28635,28672,28949,29248,29741,29900,30099,30432,30751,30725
Carroll County,30071,30092,29916,29909,29711,29870,29789,29812,29741,29791
Charles City County,7259,7205,7126,7072,6978,7046,7034,7026,7000,6963
Charlotte County,12568,12499,12401,12279,12175,12179,12119,12077,11944,11880
Chesterfield County,317198,320307,323880,327612,332093,334915,338479,343276,348281,352802
Clarke County,14012,14190,14245,14253,14315,14239,14294,14454,14511,14619
Craig County,5198,5169,5138,5138,5176,5136,5120,5062,5102,5131
Culpeper County,46838,47345,47844,48606,49237,49551,50319,51235,51795,52605
Cumberland County,10028,9985,9841,9848,9839,9756,9745,9828,9857,9932
Dickenson County,15847,15779,15707,15526,15344,15201,15014,14722,14526,14318
Dinwiddie County,28063,28119,28223,28084,28094,28148,28468,28630,28633,28544
Essex County,11146,11169,11135,11161,11071,11096,11077,10969,10896,10953
Fairfax County,1086155,1103439,1120395,1131784,1136271,1140401,1144188,1148728,1148463,1147532
Fauquier County,65440,66032,66561,67139,68116,68423,68805,69547,70642,71222
Floyd County,15365,15400,15431,15482,15526,15548,15677,15758,15790,15749
Fluvanna County,25791,25956,25883,25825,25969,26133,26187,26480,26898,27270
Franklin County,56176,56337,56290,56269,56258,56227,56158,56315,56191,56042
Frederick County,78550,79512,80229,81474,82714,83493,84638,86456,88173,89313
Giles County,17316,17151,17022,16988,16849,16762,16827,16754,16799,16720
Gloucester County,36940,36889,36838,36768,37024,37010,37114,37295,37341,37348
Goochland County,21744,21374,21273,21565,21849,22165,22485,22703,23219,23753
Grayson County,15497,15366,15143,15128,15922,15959,15867,15697,15635,15550
Greene County,18457,18667,18803,18848,19105,19183,19309,19593,19692,19819
Greensville County,12234,12001,11745,11689,11564,11786,11500,11569,11432,11336
Halifax County,36206,36000,35738,35386,35204,35103,34990,34575,34181,33911
Hanover County,99902,99908,100339,101065,101724,103071,104290,105674,106886,107766
Henrico County,307253,310430,315587,318640,321835,324375,325931,327559,328993,330818
Henry County,54135,53552,53112,52748,52237,51940,51645,51346,51050,50557
Highland County,2297,2260,2234,2205,2238,2196,2210,2217,2208,2190
Isle of Wight County,35316,35296,35343,35526,35865,36159,36326,36571,36972,37109
James City County,67661,68297,69409,70612,72064,72819,73930,75274,76033,76523
King and Queen County,6976,6987,7009,7029,7082,7085,7054,6999,7045,7025
King George County,23696,24273,24606,24897,25260,25414,25947,26337,26612,26836
King William County,15999,16014,15977,16092,16149,16282,16405,16684,16919,17148
Lancaster County,11362,11275,11125,10959,10861,10825,10771,10725,10696,10603
Lee County,25605,25544,25428,25080,24724,24595,24165,23900,23656,23423
Loudoun County,315478,326327,337847,349915,362206,374014,385546,397049,405522,413538
Louisa County,33309,33465,33494,33987,34310,34611,35304,35912,36784,37591
Lunenburg County,12910,12911,12638,12532,12482,12348,12319,12333,12215,12196
Madison County,13300,13141,13132,13090,13030,13047,13081,13212,13248,13261
Mathews County,8974,8944,8911,8898,8813,8834,8769,8709,8792,8834
Mecklenburg County,32708,32560,31686,31239,31104,30922,30813,30693,30624,30587
Middlesex County,10980,10854,10850,10781,10657,10686,10749,10625,10733,10582
Montgomery County,94557,94737,95652,96589,97107,97317,98172,98142,98532,98535
Nelson County,14978,15020,14802,14800,14863,14760,14805,14800,14862,14930
New Kent County,18543,18764,19149,19516,20019,20377,21009,21638,22317,23091
Northampton County,12409,12408,12212,12030,12038,12080,12002,11872,11761,11710
Northumberland County,12355,12451,12422,12298,12256,12241,12176,12271,12168,12095
Nottoway County,15840,15894,15756,15637,15511,15606,15495,15432,15400,15232
Orange County,33578,33994,34275,34620,34923,35178,35354,35870,36598,37051
Page County,24065,23957,23841,23723,23784,23662,23619,23784,23972,23902
Patrick County,18470,18335,18333,18249,18175,17960,17796,17713,17663,17608
Pittsylvania County,63586,63262,62895,62554,62371,62010,61704,61309,60901,60354
Powhatan County,28125,28129,28178,28300,28496,28056,28443,28716,29210,29652
Prince Edward County,23359,22318,23172,22714,22975,23120,23020,22678,22906,22802
Prince George County,35642,36716,37123,37333,37415,38246,37972,38006,37993,38353
Prince William County,406169,419094,429616,437735,443782,450978,456496,463069,466235,470335
Pulaski County,34828,34740,34732,34546,34340,34351,34249,34225,34060,34027
Rappahannock County,7500,7476,7409,7428,7336,7400,7380,7393,7345,7370
